book_name,author_year,summary,link
Learning with Python 3,"Peter Wentworth, Jeffrey Elkner, Allen B. Downey, & Chris Meyers, 2012",Introduction to computer science using the Python programming language. It covers the basics of computer programming in the first part while later chapters cover basic algorithms and data structures.,http://openbookproject.net/thinkcs/python/english3e/
"Learn Python, Break Python","Scott Grant, 2014","This is a hands-on introduction to the Python programming language, written for people who have no experience with programming whatsoever. After all, everybody has to start somewhere.",http://learnpythonbreakpython.com/
Learn Python the Hard Way,"Zed A. Shaw, 2013",This is a free sample of Learn Python 2 The Hard Way with 8 exercises and Appendix A available for you to review.,http://learnpythonthehardway.org/book/
Practical Regression and Anova using R,"Julian J. Faraway, 2002","This book is NOT introductory. The emphasis of this text is on the practice of regression and analysis of variance. The objective is to learn what methods are available and more importantly, when they should be applied.",https://cran.r-project.org/doc/contrib/Faraway-PRA.pdf
Python Cookbook,"David Beazley & Brian K. Jones, 2013","If you need help writing programs in Python 3, or want to update older Python 2 code, this book is just the ticket. Packed with practical recipes written and tested with Python 3.3. For experienced Python developers.",http://chimera.labs.oreilly.com/books/1230000000393/index.html
Python for Informatics: Exploring Information,"Dr. Charles R Severance, 2013",This book is designed to introduce students to programming and computational thinking through the lens of exploring data. You can think of Python as your tool to solve problems that are far beyond the capability of a spreadsheet.,http://www.pythonlearn.com/book.php
Python for You and Me,"Kushal Das, 2015","This is a simple book to learn the Python programming language, it is for the programmers who are new to Python.",http://pymbook.readthedocs.org/en/latest/
Python Practice Book,"Anand Chitipothu, 2014",This book is prepared from the training notes of Anand Chitipothu.,http://anandology.com/python-practice-book/
Python Programming,"Wikibooks, 2015","This book describes Python, an open-source general-purpose interpreted programming language available for a broad range of operating systems. This book describes primarily version 2, but does at times reference changes in version 3.",https://en.wikibooks.org/wiki/Python_Programming
R by Example,"Ajay Shah, 2005",,
R Programming,"Wikibooks, 2014","The aim of this Wikibook is to be the place where anyone can share his or her knowledge and tricks on R. It is supposed to be organized by task but not by discipline. We try to make a cross-disciplinary book, i.e. a book that can be used by all.",https://en.wikibooks.org/wiki/R_Programming
R Programming for Data Science,Roger D. Peng,"This book is about the fundamentals of R programming. You will get started with the basics of the language, learn how to manipulate datasets, how to write functions, and how to debug and optimize code.",https://leanpub.com/rprogramming
Spatial Epidemiology Notes: Applications and Vignettes in R,"Charles DiMaggio, 2014","My intent is to present a relatively brief, non-jargony overview of how practicing epidemiologists can apply some of the extremely powerful spatial analytic tools that are easily available to them.",http://www.columbia.edu/~cjd11/charles_dimaggio/DIRE/resources/spatialEpiBook.pdf
